zooID	i	latit	longit	type	scinam	Nestbuilding 	Courtshipfeeding 	Incubation	FeedingOffspring 	Precocilaity 	family	order_	genus	brange_area	clutch_size	generation_length	territoriality	social_bond	migr_dist	lab_method	ep_offspring	wp_offspring	ep_broods	wp_broods	X	Y	rel_latitude	rel_distance	Realm	seasonality	n_epy	n_epb	prop_epb	prop_epo
8	239	41.067	-3.45	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	174	952	77	156	-291130.2044	5128842.052	-0.375342294	0.154690619	Palearctic	0.86617893	1126	233	0.330472103	0.154529307
8	240	60.008	10.7	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	1	52	3	52	785697.0949	6996804.252	0.590205704	0.068862275	Palearctic	1.282177329	53	55	0.054545455	0.018867925
8	241	59.833	17.667	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	0	9	29	3	4	1299409.491	6982014.376	0.58256083	0.254491018	Palearctic	1.261906862	38	7	0.428571429	0.236842105
8	242	56.47	84.949	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	4	264	3	43	6438653.476	6687653.954	0.430406191	0.295409182	Palearctic	1.464580178	268	46	0.065217391	0.014925373
8	243	56.35	84.933	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	142	1343	53	197	6444032.413	6676805.128	0.424798442	0.324351297	Palearctic	1.458779335	1485	250	0.212	0.095622896
8	244	52.109	-3.771	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	0	4	108	3	17	-296047.3077	6279077.203	0.219213231	0.21756487	Palearctic	0.908378005	112	20	0.15	0.035714286
8	245	60.432	22.161	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	38	819	25	166	1620772.849	7032414.156	0.608612432	0.003992016	Palearctic	1.267247438	857	191	0.130890052	0.044340723
8	246	60.008	10.7	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	0	6	129	4	23	785697.0949	6996804.252	0.590205704	0.068862275	Palearctic	1.282177329	135	27	0.148148148	0.044444444
8	247	52.45	7.25	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	0	45	839	21	143	567691.4704	6312051.219	0.236257471	0.353293413	Palearctic	0.973612845	884	164	0.12804878	0.050904977
8	248	40.8	-4.002	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	116	813	53	124	-338210.3679	5099242.767	-0.390642138	0.154690619	Palearctic	0.776470423	929	177	0.299435028	0.124865447
8	249	62.617	26.333	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	0	24	199	9	47	1885188.658	7210776.57	0.700807805	0.616766467	Palearctic	1.264341116	223	56	0.160714286	0.107623318
8	250	52.035	5.859	1	ficedula_hypoleuca	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	43	438	18	75	460226.8711	6271899.424	0.215503044	0.243512974	Palearctic	0.922440529	481	93	0.193548387	0.089397089
8	251	52.702	23.866	1	ficedula_parva	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	5.99502E+12	6	3.9	1	1	3331.88	1	12	147	8	25	1865142.534	6336310.827	0.226019348	0.701	Palearctic	1.094898582	159	33	0.242424242	0.075471698
8	252	44.592	126.525	1	ficedula_zanthopygia	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	2.68926E+12	6	3.9	1	2	4318.49	1	72	253	35	29	10458752.33	5512252.568	0.272129798	0.977867203	Palearctic	1.662335873	325	64	0.546875	0.221538462
5	253	8.567	-67.583	1	forpus_passerinus	NA	NA	NA	NA	NA	psittacidae	psittaciformes	forpus	1.06723E+12	5	4.1	0	2	346.627	1	64	763	23	137	-6324956.245	1126774.762	0.947739421	0.981150794	Neotropical	0.456339806	827	160	0.14375	0.07738815
8	254	67.435	11.885	1	fratercula_arctica	NA	NA	NA	NA	NA	alcidae	charadriiformes	fratercula	3.00573E+11	1	21.6	0	2	1435.18	1	0	38	0	38	807910.7344	7571573.972	0.505945912	1	Palearctic	1.335995317	38	38	0	0
6	255	23.87	-166.285	1	fregata_minor	NA	NA	NA	NA	NA	fregatidae	suliformes	fregata	20538652194	1	15.2	0	1	2625.76	0	1	91	1	91	-15091454.22	3091445.174	0.737801162	1	Oceania	0.337637275	92	92	0.010869565	0.010869565
6	256	23.87	-166.285	1	fregata_minor	NA	NA	NA	NA	NA	fregatidae	suliformes	fregata	NA	NA	NA	NA	NA	NA	1	4	42	4	42	-15091454.22	3091445.174	0.737801162	1	Oceania	0.337637275	46	46	0.086956522	0.086956522
8	257	53.333	-1.533	1	fringilla_coelebs	0.0  	0.0  	0.0  	33.7  	0  	fringillidae	passeriformes	fringilla	1.39095E+13	4	5.7	1	2	1734.12	0	8	39	3	10	-119217.7515	6396648.11	0.34570839	0.305135952	Palearctic	0.975605965	47	13	0.230769231	0.170212766
8	258	59.533	-1.617	1	fulmarus_glacialis	0	0.0  	55.0  	58.0  	0  	procellariidae	procellariiformes	fulmarus	6.30478E+11	1	30.7	0	2	1286.34	0	0	91	0	91	-119263.037	6956535.664	0.243819294	0.050150451	Palearctic	0.979290485	91	91	0	0
5	259	-15.76	-47.86	1	furnarius_rufus	NA	NA	NA	NA	NA	furnariidae	passeriformes	furnarius	6.20987E+12	4	4.4	2	2	636.813	1	4	116	3	43	-4431347.018	-2061691.182	-0.569829724	0.918918919	Neotropical	0.434542358	120	46	0.065217391	0.033333333
4	260	45.7	-89.616	1	gavia_immer	NA	NA	NA	NA	NA	gaviidae	gaviiformes	gavia	9.34175E+12	2	9.8	0	2	1294.78	0	0	58	0	47	-7356587.566	5629807.749	-0.733336444	0.321792261	Nearctic	1.183169484	58	47	0	0
5	261	-0.422	-90.372	1	geospiza_fortis	NA	NA	NA	NA	NA	emberizidae	passeriformes	geospiza	7748192115	4	4.3	1	1	41.4282	1	44	179	33	60	-8495480.131	-55628.04311	-0.377585855	0.718154463	Neotropical	0.828788817	223	93	0.35483871	0.197309417
